NEAREST NEIGHBOR COMPARISON REPORT
==================================
Total targets compared: 500
Neighbors per target: 10
Comparison: Drop NaN vs. Fill NaN with Median (kurtosis_r)

ObjectID             | Overlap (Cnt)   | Overlap (%)    
ZTF18aavvbrk         | 10              | 100.0          
ZTF19adddwga         | 10              | 100.0          
ZTF19abcdzvz         | 10              | 100.0          
ZTF19adhmtih         | 10              | 100.0          
ZTF18abgtvht         | 10              | 100.0          
ZTF21acbtyvx         | 10              | 100.0          
ZTF20abbbfgu         | 10              | 100.0          
ZTF20abfgevy         | 10              | 100.0          
ZTF23aalhxle         | 10              | 100.0          
ZTF19abjsxft         | 10              | 100.0          
ZTF19abadprg         | 10              | 100.0          
ZTF18achzfav         | 10              | 100.0          
ZTF19addhblw         | 10              | 100.0          
ZTF18ablsgne         | 10              | 100.0          
ZTF19aalbzva         | 10              | 100.0          
ZTF23abmpkmr         | 10              | 100.0          
ZTF20abknokd         | 10              | 100.0          
ZTF20abmkkls         | 10              | 100.0          
ZTF17aabvsrz         | 10              | 100.0          
ZTF22aaewoes         | 10              | 100.0          
ZTF20abovxhh         | 10              | 100.0          
ZTF20aajibkg         | 10              | 100.0          
ZTF18adjxvhv         | 10              | 100.0          
ZTF19abvtsym         | 10              | 100.0          
ZTF21aaqupxm         | 10              | 100.0          
ZTF22aapftks         | 10              | 100.0          
ZTF19aadwkkc         | 10              | 100.0          
ZTF24abzwzdt         | 10              | 100.0          
ZTF18abnlfxb         | 10              | 100.0          
ZTF21abmvlcp         | 10              | 100.0          
ZTF25abagcch         | 10              | 100.0          
ZTF18acwrujm         | 10              | 100.0          
ZTF19acyynfw         | 10              | 100.0          
ZTF18abhxqgi         | 10              | 100.0          
ZTF18adjvrwd         | 10              | 100.0          
ZTF18aabexaf         | 10              | 100.0          
ZTF20abjcdjl         | 10              | 100.0          
ZTF18abvowru         | 10              | 100.0          
ZTF18acfdjme         | 10              | 100.0          
ZTF18abxupyt         | 10              | 100.0          
ZTF19aasbatz         | 10              | 100.0          
ZTF18aavvcny         | 10              | 100.0          
ZTF19aamrfdq         | 10              | 100.0          
ZTF18aafukgl         | 10              | 100.0          
ZTF23absmyzs         | 10              | 100.0          
ZTF19aaxwbpg         | 10              | 100.0          
ZTF18aafcmse         | 10              | 100.0          
ZTF18accyzdt         | 10              | 100.0          
ZTF18abcscdi         | 10              | 100.0          
ZTF18abkjgwc         | 10              | 100.0          
ZTF18aasgdic         | 10              | 100.0          
ZTF23abecytv         | 10              | 100.0          
ZTF18accerfm         | 10              | 100.0          
ZTF19aayunuw         | 10              | 100.0          
ZTF24abhxdnh         | 10              | 100.0          
ZTF18abdrova         | 10              | 100.0          
ZTF18abgqcdx         | 10              | 100.0          
ZTF19aaetcze         | 10              | 100.0          
ZTF18adlrvpi         | 10              | 100.0          
ZTF19abagaqt         | 10              | 100.0          
ZTF19aatiajl         | 10              | 100.0          
ZTF23aawmapw         | 10              | 100.0          
ZTF19aaxgbcj         | 10              | 100.0          
ZTF20abtneji         | 10              | 100.0          
ZTF18abccosw         | 10              | 100.0          
ZTF18abpfkxy         | 10              | 100.0          
ZTF19abafzym         | 10              | 100.0          
ZTF24aappuas         | 10              | 100.0          
ZTF18adjcezj         | 10              | 100.0          
ZTF18adqibzn         | 10              | 100.0          
ZTF19aawnatb         | 10              | 100.0          
ZTF18aajbjdj         | 10              | 100.0          
ZTF18abqdjdj         | 10              | 100.0          
ZTF19aaqsfxx         | 10              | 100.0          
ZTF23aaxecvm         | 10              | 100.0          
ZTF22aabgnce         | 10              | 100.0          
ZTF22abwuobb         | 10              | 100.0          
ZTF21abnublk         | 10              | 100.0          
ZTF20aappoys         | 10              | 100.0          
ZTF18abdyawo         | 10              | 100.0          
ZTF19aarghih         | 10              | 100.0          
ZTF18aayosec         | 10              | 100.0          
ZTF18aajdekm         | 10              | 100.0          
ZTF18abircef         | 10              | 100.0          
ZTF18admvdjt         | 10              | 100.0          
ZTF18abkjroj         | 10              | 100.0          
ZTF18acsxrkr         | 10              | 100.0          
ZTF21abdqioa         | 10              | 100.0          
ZTF19aagobzk         | 10              | 100.0          
ZTF18abcjbon         | 10              | 100.0          
ZTF18admfswe         | 10              | 100.0          
ZTF18aalmdcl         | 10              | 100.0          
ZTF18adiskru         | 10              | 100.0          
ZTF18aawlozl         | 10              | 100.0          
ZTF21aakihin         | 10              | 100.0          
ZTF18abeymsn         | 10              | 100.0          
ZTF19aayhsdt         | 10              | 100.0          
ZTF18abfisra         | 10              | 100.0          
ZTF20abxkrmc         | 10              | 100.0          
ZTF19acgsgms         | 10              | 100.0          
ZTF18abdvqca         | 10              | 100.0          
ZTF18abstbam         | 10              | 100.0          
ZTF18admqzld         | 10              | 100.0          
ZTF18abioetx         | 10              | 100.0          
ZTF19acjmkzy         | 10              | 100.0          
ZTF18ablnaym         | 10              | 100.0          
ZTF25aazsbci         | 10              | 100.0          
ZTF20aauwzui         | 10              | 100.0          
ZTF22abveysl         | 10              | 100.0          
ZTF24aagclnd         | 10              | 100.0          
ZTF18aasnjcc         | 10              | 100.0          
ZTF19abibjfr         | 10              | 100.0          
ZTF18aasgrtr         | 10              | 100.0          
ZTF23aaiknhm         | 10              | 100.0          
ZTF19acyupqt         | 10              | 100.0          
ZTF18acrjmdh         | 10              | 100.0          
ZTF19acvwafd         | 10              | 100.0          
ZTF18acadcbo         | 10              | 100.0          
ZTF18aazdilm         | 10              | 100.0          
ZTF20aazqexp         | 10              | 100.0          
ZTF20adabnxp         | 10              | 100.0          
ZTF22aaapjqt         | 10              | 100.0          
ZTF18aaxywqs         | 10              | 100.0          
ZTF17aacmyjv         | 10              | 100.0          
ZTF18abclstx         | 10              | 100.0          
ZTF19aardxhy         | 10              | 100.0          
ZTF18aauijgy         | 10              | 100.0          
ZTF21abtulme         | 10              | 100.0          
ZTF20acpkbmc         | 10              | 100.0          
ZTF19abbuthb         | 10              | 100.0          
ZTF18ablvqeh         | 10              | 100.0          
ZTF19aazhkua         | 10              | 100.0          
ZTF18abbstju         | 10              | 100.0          
ZTF20abayrok         | 10              | 100.0          
ZTF18abajcxo         | 10              | 100.0          
ZTF17aabvsnx         | 10              | 100.0          
ZTF19aayxwcz         | 10              | 100.0          
ZTF19aalbzzl         | 10              | 100.0          
ZTF19aaqjqrx         | 10              | 100.0          
ZTF19aarhgci         | 10              | 100.0          
ZTF19aamjuuq         | 10              | 100.0          
ZTF18aadepgt         | 10              | 100.0          
ZTF21acbowrb         | 10              | 100.0          
ZTF19aavrzde         | 10              | 100.0          
ZTF17aademol         | 10              | 100.0          
ZTF22aaaxyzl         | 10              | 100.0          
ZTF18absiyck         | 10              | 100.0          
ZTF18adjbhjl         | 10              | 100.0          
ZTF22aajfwcb         | 10              | 100.0          
ZTF19aadufyd         | 10              | 100.0          
ZTF18abrytla         | 10              | 100.0          
ZTF18abvtfbl         | 10              | 100.0          
ZTF18adazjts         | 10              | 100.0          
ZTF18abfpgus         | 10              | 100.0          
ZTF18actwzhx         | 10              | 100.0          
ZTF19abxyfti         | 10              | 100.0          
ZTF19aaeocef         | 10              | 100.0          
ZTF23abbkpiw         | 10              | 100.0          
ZTF19adcnbxc         | 10              | 100.0          
ZTF18abnucby         | 10              | 100.0          
ZTF18ablpkyp         | 10              | 100.0          
ZTF25aapdjyq         | 10              | 100.0          
ZTF20abbexov         | 10              | 100.0          
ZTF20aaglupu         | 10              | 100.0          
ZTF18aaxdjmr         | 10              | 100.0          
ZTF18admingy         | 10              | 100.0          
ZTF19adnslxr         | 10              | 100.0          
ZTF20adcdkdb         | 10              | 100.0          
ZTF18ablwxpv         | 10              | 100.0          
ZTF18abercgz         | 10              | 100.0          
ZTF22aabghcy         | 10              | 100.0          
ZTF20abgtvnl         | 10              | 100.0          
ZTF22aakkadq         | 10              | 100.0          
ZTF18abjlrbs         | 10              | 100.0          
ZTF18ablgsnx         | 10              | 100.0          
ZTF18abcwlvu         | 10              | 100.0          
ZTF18abdynog         | 10              | 100.0          
ZTF20abmdies         | 10              | 100.0          
ZTF18abclmdm         | 10              | 100.0          
ZTF18abmaocq         | 10              | 100.0          
ZTF18ablwbkj         | 10              | 100.0          
ZTF20aawfowf         | 10              | 100.0          
ZTF18aacrrbk         | 10              | 100.0          
ZTF19abizvlt         | 10              | 100.0          
ZTF22aavbcwh         | 10              | 100.0          
ZTF18accbyfv         | 10              | 100.0          
ZTF22aahnzhs         | 10              | 100.0          
ZTF18aaxmnle         | 10              | 100.0          
ZTF18abdvtxo         | 10              | 100.0          
ZTF18abdlkzf         | 10              | 100.0          
ZTF22aaegzav         | 10              | 100.0          
ZTF18abntfzx         | 10              | 100.0          
ZTF20aadakra         | 10              | 100.0          
ZTF18abesbpf         | 10              | 100.0          
ZTF22aaerlmy         | 10              | 100.0          
ZTF18abdebls         | 10              | 100.0          
ZTF18aaacdol         | 10              | 100.0          
ZTF19aaefuqp         | 10              | 100.0          
ZTF18admajtq         | 10              | 100.0          
ZTF18aajowae         | 10              | 100.0          
ZTF22abvmped         | 10              | 100.0          
ZTF19aaxroxs         | 10              | 100.0          
ZTF22aajwryx         | 10              | 100.0          
ZTF18abaaowd         | 10              | 100.0          
ZTF18abbvapt         | 10              | 100.0          
ZTF19abassbh         | 10              | 100.0          
ZTF22aaaheoe         | 10              | 100.0          
ZTF21abvqhmp         | 10              | 100.0          
ZTF18adllvct         | 10              | 100.0          
ZTF19aaezklu         | 10              | 100.0          
